id,n_eventos,veredito_composto,infimo_componentes,prop2_ok,status_gate,diag
214,7,BOT,BOT,OK,erro_classificacao,timeout_cls
215,5,BOT,BOT,OK,erro_classificacao,timeout_cls
216,3,TOP,TOP,OK,divergencia_pcp,mismatch
217,5,BOT,BOT,OK,erro_classificacao,timeout_cls
218,5,BOT,BOT,OK,erro_classificacao,timeout_cls
219,3,TOP,TOP,OK,liberado_integracao,-
220,6,TOP,TOP,OK,liberado_integracao,-
221,9,BOT,BOT,OK,erro_classificacao,timeout_cls
222,11,TOP,TOP,OK,liberado_integracao,-
223,9,TOP,TOP,OK,liberado_integracao,-
224,11,TOP,TOP,OK,divergencia_pcp,mismatch
225,3,TOP,TOP,OK,divergencia_pcp,mismatch
226,10,TOP,TOP,OK,liberado_integracao,-
227,3,TOP,TOP,OK,divergencia_pcp,mismatch
228,3,TOP,TOP,OK,divergencia_pcp,mismatch
229,4,BOT,BOT,OK,erro_classificacao,timeout_cls
230,3,TOP,TOP,OK,liberado_integracao,-
231,11,TOP,TOP,OK,divergencia_pcp,mismatch
232,10,BOT,BOT,OK,erro_classificacao,timeout_cls
233,9,TOP,TOP,OK,liberado_integracao,-
234,7,BOT,BOT,OK,erro_classificacao,timeout_cls
235,7,TOP,TOP,OK,liberado_integracao,-
236,5,BOT,BOT,OK,erro_classificacao,timeout_cls
237,6,BOT,BOT,OK,erro_classificacao,timeout_cls
238,9,TOP,TOP,OK,divergencia_pcp,mismatch
239,7,BOT,BOT,OK,erro_classificacao,timeout_cls
240,6,BOT,BOT,OK,erro_classificacao,timeout_cls
241,5,TOP,TOP,OK,liberado_integracao,-
242,8,TOP,TOP,OK,liberado_integracao,-
243,7,BOT,BOT,OK,erro_classificacao,timeout_cls
244,8,TOP,TOP,OK,liberado_integracao,-
245,2,BOT,BOT,OK,erro_decisao,leave_ab_silent
246,5,BOT,BOT,OK,erro_classificacao,timeout_cls
247,4,TOP,TOP,OK,divergencia_pcp,mismatch
248,8,BOT,BOT,OK,erro_classificacao,timeout_cls
249,10,TOP,TOP,OK,divergencia_pcp,mismatch
250,6,BOT,BOT,OK,erro_classificacao,timeout_cls
251,4,BOT,BOT,OK,erro_classificacao,timeout_cls
252,3,TOP,TOP,OK,divergencia_pcp,mismatch
253,7,BOT,BOT,OK,erro_classificacao,timeout_cls
254,6,BOT,BOT,OK,erro_classificacao,timeout_cls
255,10,BOT,BOT,OK,erro_classificacao,timeout_cls
